gegenstandswert;gericht;anwalt
3000;216.00;621.78
4000;254.00;773.50
5000;292.00;925.23
6000;330.00;1076.95
7000;368.00;1228.68
8000;406.00;1380.40
9000;444.00;1532.13
10000;482.00;1683.85
13000;534.00;1820.70
16000;586.00;1957.55
19000;638.00;2094.40
22000;690.00;2231.25
25000;742.00;2368.10
30000;812.00;2591.23
35000;882.00;2814.35
40000;952.00;3037.48
45000;1022.00;3260.60
50000;1092.00;3483.73
65000;1332.00;3736.60
80000;1572.00;3989.48
95000;1812.00;4242.35
110000;2052.00;4495.23
125000;2292.00;4748.10
140000;2532.00;5000.98
155000;2772.00;5253.85
170000;3012.00;5506.73
185000;3252.00;5759.60
200000;3492.00;6012.48
