gegenstandswert;gericht;anwalt
3000;238.00;684.25
4000;280.00;850.85
5000;322.00;1017.45
6000;364.00;1184.05
7000;406.00;1350.65
8000;448.00;1517.25
9000;490.00;1683.85
10000;532.00;1850.45
13000;590.00;2005.15
16000;648.00;2159.85
19000;706.00;2314.55
22000;764.00;2469.25
25000;822.00;2623.95
30000;898.00;2864.93
35000;974.00;3105.90
40000;1050.00;3346.88
45000;1126.00;3587.85
50000;1202.00;3828.83
65000;1466.00;4108.48
80000;1730.00;4388.13
95000;1994.00;4667.78
110000;2258.00;4947.43
125000;2522.00;5227.08
140000;2786.00;5506.73
155000;3050.00;5786.38
170000;3314.00;6066.03
185000;3578.00;6345.68
200000;3842.00;6625.33
